sku,imagen
ms1001/2,"https://source.unsplash.com/400x400/?Máscara,De,Soldar,Fotosensible,Neo,Modelo,Ms1002,Color,Gris,Neo,Ms1002"
IMET7200/220,"https://source.unsplash.com/400x400/?Soldadora,Inverter,Mig-mag/electrodo/tig,200a,Gladiator,Pro"
40085,"https://source.unsplash.com/400x400/?Eccole,Pegamento,Zapatos,Y,Zapatillas,9gr,Csc"
262161,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Ultra,Cover,2x,Naranja,Brillante,340gr,Ru,Pa"
P55545,"https://source.unsplash.com/400x400/?Adhesivo,Vinílico,Cascola,Profesional,1,Kg,Pegamax"
CGSLI401682,"https://source.unsplash.com/400x400/?Motosierra,A,Bateria,40v,P20s,16,C/bat,C/carg,Ingco"
990-5040,"https://source.unsplash.com/400x400/?Cargador,De,Bateria,Hyundai,-,Ferreteria,Armhel"
277-0009,"https://source.unsplash.com/400x400/?Taladro,Con,Percutor,13mm,680w,Makita,"
52205,"https://source.unsplash.com/400x400/?Wd-40,Lubricante,Multiusos,191ml"
015-75752,"https://source.unsplash.com/400x400/?Mecha,Sierra,Copa,Tolsen,Bi-metal,52mm,Corte,De,38mm,-,Sc"
320-422,"https://source.unsplash.com/400x400/?Tijera,Corta,Chapa,Derecha,Prosnip"
019-0700,"https://source.unsplash.com/400x400/?Set,Compresor,Aire,Hyundai,2hp,-24lts,-115psi,+,Kit,Acoples,Color,Azul,Fase,Eléctrica,Monofásica,Frecuencia,60"
DW00719,"https://source.unsplash.com/400x400/?Broca,Dewalt,Dt9581-qz,Sds,Plus,De,16,X,300,Mm"
16-125,"https://source.unsplash.com/400x400/?Formon,Stanley,X,3,Largo,(juego),(16-125la)"
40070296,"https://source.unsplash.com/400x400/?Alicate,Punta,Curva,6'',Truper"
33938,"https://source.unsplash.com/400x400/?Bordeadora,Tramontina,Ap1000t,Color,Naranja,Y,Negro,Naranja/negro"
272071,"https://source.unsplash.com/400x400/?Pintura,Aerosol,Para,Metales,Metallic,Rust,Oleum,Colores,Color,Oro"
FBLI20031,"https://source.unsplash.com/400x400/?Bateria,20v,5ah,Mod,Nuevo,Ingco,Fbli20031"
